t,skew,phase,vpp,filt,avg,amp,rms
1759793162.192527,9.3706,337.34,0.551042,0.60833,0.470443,0.279661,0.06708961
1759793162.372193,-0.625,337.499,0.553125,0.60586,0.470443,0.279661,0.0672698
1759793162.4639847,9.3905,338.059,0.55,0.60964,0.477917,0.279818,0.0672698
1759793162.6064577,-0.6001,338.396,0.55625,0.60885,0.468229,0.298411,0.06691328
1759793162.7747023,9.4105,338.778,0.561458,0.62344,0.476484,0.286302,0.0671464
1759793162.968388,9.4105,338.778,0.561458,0.6099,0.467109,0.252708,0.06681565
1759793163.147618,-0.58,339.119,0.629167,0.64128,0.474245,0.279792,0.06704785
1759793163.3189294,9.4305,339.499,0.629167,0.64128,0.474245,0.279401,0.06673719
1759793163.407064,-0.5601,339.837,0.559375,0.6099,0.465391,0.279401,0.06673719
1759793163.5724308,9.4555,340.399,0.55625,0.61406,0.472161,0.252969,0.06702992
1759793164.6751535,-0.8201,330.477,0.552083,0.61198,0.470547,0.252474,0.06644469
1759793165.799474,9.070500000000001,326.539,0.554167,0.60625,0.464635,0.286094,0.06639186
1759793165.9767547,9.0755,326.718,0.548958,0.60677,0.466406,0.253177,0.06662263
1759793166.1647913,9.0755,326.718,0.548958,0.60521,0.464245,0.272474,0.06634595
1759793166.3439667,-0.915,327.058,0.554167,0.60807,0.466276,0.265026,0.06659335
1759793166.514208,9.0955,327.438,0.551042,0.60807,0.466276,0.265026,0.06633276
1759793166.6058955,-0.8901,327.95799999999997,0.6,0.62786,0.463984,0.265391,0.06633276
1759793166.7614744,9.1182,328.231,0.552083,0.60052,0.465938,0.252891,0.06647518
1759793166.9328237,-0.8751,328.496,0.55,0.60833,0.4625,0.265391,0.06618561
1759793167.1061385,-0.8651000000000001,328.85699999999997,0.553125,0.61211,0.469714,0.253255,0.06600692
1759793167.295713,-0.8651000000000001,328.85699999999997,0.553125,0.60599,0.460781,0.245547,0.06627774
1759793167.4705062,9.1455,329.237,0.547917,0.61667,0.469844,0.264714,0.06611997
1759793167.5510101,-0.8451,329.577,0.56875,0.61667,0.469844,0.264714,0.06611997
1759793167.6823664,9.1705,330.139,0.55,0.61328,0.461432,0.278958,0.06640038
1759793167.8746781,-0.8201,330.139,0.54375,0.60443,0.467865,0.24625,0.06612997
1759793168.0545282,9.1855,330.477,0.55625,0.61471,0.461953,0.259427,0.06639859
1759793168.2313833,9.1855,330.679,0.55625,0.60885,0.466667,0.266068,0.06615757
1759793168.4231496,-0.8051,331.017,0.547917,0.60885,0.466667,0.253099,0.06635525
1759793168.5955095,9.2006,331.22,0.553125,0.60456,0.471068,0.306276,0.06656306
1759793168.681432,9.215599999999998,331.76,0.55,0.60651,0.471068,0.306276,0.06656306
1759793168.808437,-0.7751,332.097,0.55,0.6056,0.462318,0.259401,0.06622328
1759793169.0073836,-0.7751,332.097,0.541667,0.60091,0.469089,0.292734,0.06643195
1759793169.1835742,9.2405,332.658,0.55,0.6082,0.476536,0.265547,0.06668269
1759793169.3638968,-0.7501,332.658,0.553125,0.6082,0.466354,0.319505,0.06631194
1759793169.5467432,-0.7501,332.996,0.553125,0.59883,0.473594,0.246094,0.06652125
1759793169.7212164,9.2651,333.502,0.545833,0.59883,0.473594,0.259609,0.06615016
1759793169.8094258,-0.725,333.898,0.536458,0.60143,0.46349,0.259609,0.06615016
1759793169.9714112,9.2856,334.281,0.557292,0.6099,0.470469,0.266328,0.06641353
1759793170.1450872,-0.7101,334.438,0.685417,0.65521,0.461458,0.279479,0.06617711
1759793170.314381,9.3056,335.0,0.554167,0.60885,0.468464,0.266068,0.06647412
1759793170.5063694,9.3155,335.0,0.860417,0.72943,0.475313,0.2875,0.06673925
1759793170.6821632,-0.675,335.315,0.560417,0.61328,0.464271,0.292266,0.06640647
1759793170.853442,-0.675,335.703,0.560417,0.61328,0.471875,0.266172,0.06665003
1759793170.9389548,9.3305,335.898,0.544792,0.60352,0.471875,0.266172,0.06665003
1759793171.1045997,-0.6601,336.236,0.545833,0.60117,0.46138,0.259349,0.06631397
1759793171.2539346,9.3506,336.62,0.545833,0.60013,0.469948,0.25901,0.06652729
1759793171.4259987,9.3506,336.62,0.545833,0.60013,0.460391,0.278151,0.06625166
1759793171.5133371,-0.64,336.959,0.5375,0.60378,0.460391,0.278151,0.06625166
1759793171.6526113,9.3726,337.413,0.546875,0.6026,0.467448,0.237865,0.06648661
1759793171.834109,-0.6201,337.678,0.54375,0.60208,0.458203,0.278958,0.06619031
1759793172.0111034,9.3955,337.678,0.55625,0.61055,0.465885,0.267188,0.06645899
1759793172.2029371,9.3955,338.239,0.55625,0.61055,0.465885,0.28987,0.06616449
1759793172.377687,-0.6001,338.398,0.553125,0.60508,0.457552,0.28987,0.06591493
1759793172.4650886,-0.5950000000000001,338.58,0.544792,0.60234,0.466198,0.236354,0.06591493
1759793172.603759,9.4205,339.139,0.548958,0.60924,0.457656,0.272786,0.06616734
1759793172.7897365,-0.5701,339.139,0.542708,0.60221,0.463594,0.279948,0.06593674
1759793172.9663079,-0.5630000000000001,339.733,0.540625,0.60156,0.472005,0.251224,0.06567205
1759793173.150276,-0.5630000000000001,339.733,0.540625,0.61354,0.461797,0.285677,0.06600588
1759793173.3446505,9.4505,340.22,0.554167,0.6026,0.468359,0.305859,0.06585571
1759793174.521186,-0.8551,331.941,0.5375,0.59766,0.474635,0.284583,0.06552441
1759793175.6689358,-0.955,325.619,0.673958,0.64557,0.463594,0.239609,0.06541869
1759793175.8454328,-0.955,325.619,0.536458,0.5901,0.453776,0.252005,0.06555488
1759793176.0284033,9.0563,326.026,0.536458,0.5901,0.453776,0.292526,0.06534425
1759793176.215818,-0.9349999999999999,326.339,0.53125,0.59427,0.469036,0.299063,0.06511016
1759793176.392712,-0.9251,326.697,0.53125,0.59193,0.469036,0.3125,0.06534866
1759793176.4813266,9.0855,327.079,0.534375,0.59206,0.457708,0.3125,0.06534866
1759793176.6109748,-0.9051,327.41700000000003,0.546875,0.5987,0.465286,0.238932,0.06519707
1759793176.785766,-0.9051,327.41700000000003,0.601042,0.61797,0.455286,0.266354,0.0654496
1759793176.978318,9.1105,327.979,0.601042,0.61797,0.455286,0.266354,0.06523328
1759793177.1513443,-0.8851,328.138,0.534375,0.59753,0.462995,0.29849,0.06546082
1759793177.23991,9.1255,328.519,0.54375,0.60039,0.452031,0.29849,0.06546082
1759793177.3794513,-0.8651000000000001,328.858,0.546875,0.59974,0.460234,0.259427,0.06525285
1759793177.5985749,9.1455,329.24,0.545833,0.60404,0.450677,0.312917,0.06553775
1759793177.744641,-0.8451,329.578,0.535417,0.5957,0.459661,0.29263,0.065256
1759793177.916225,-0.8451,329.578,0.535417,0.5957,0.45237,0.305911,0.06548283
1759793178.0015512,9.1655,329.959,0.540625,0.5987,0.45237,0.305911,0.06548283
1759793178.1578033,-0.8251000000000001,330.298,0.573958,0.61302,0.459115,0.240443,0.06528065
1759793178.3250637,9.1863,330.707,0.539583,0.60221,0.452943,0.298984,0.06552931
1759793178.5015063,-0.8051,330.707,0.532292,0.59557,0.458464,0.246016,0.06516315
1759793178.6867332,-0.8051,331.01800000000003,0.532292,0.59557,0.454141,0.258646,0.06533205
1759793178.8692367,9.205599999999999,331.4,0.540625,0.65508,0.462057,0.299297,0.0655539
1759793179.0424986,9.2164,331.789,0.7,0.65508,0.462057,0.272917,0.06522758
1759793179.134399,-0.7801,331.91700000000003,0.529167,0.59167,0.452578,0.272917,0.06522758
1759793179.2861521,9.2356,332.48,0.544792,0.6,0.460495,0.27237,0.06549773
1759793179.4542034,-0.7601,332.638,0.53125,0.59219,0.451563,0.279635,0.06517222
1759793179.647884,9.2556,332.638,0.534375,0.59896,0.458542,0.246276,0.06539311
1759793179.8306258,-0.735,333.539,0.572917,0.6069,0.451693,0.286146,0.06509238
1759793180.0063694,-0.735,333.539,0.532292,0.59167,0.45737,0.276484,0.06518399
1759793180.1991665,9.270499999999998,333.74,0.532292,0.59167,0.45737,0.276484,0.0648373
1759793180.3927662,-0.7201,334.076,0.530208,0.59245,0.45724,0.286094,0.0650113
1759793180.579277,9.2906,334.461,0.530208,0.59245,0.452344,0.272604,0.06471589
1759793180.7644315,-0.6951,334.977,0.545833,0.59648,0.452344,0.285651,0.06488998
1759793180.939861,9.3155,335.358,0.527083,0.58607,0.455938,0.239375,0.06465451
1759793181.1197865,-0.6751,335.696,0.54375,0.5987,0.45237,0.279297,0.06446381
1759793181.2076492,-0.6650999999999999,336.057,0.536458,0.59245,0.458932,0.279297,0.06446381
1759793181.37413,9.3457,336.443,0.6375,0.63125,0.450417,0.272552,0.06477268
1759793181.5310166,-0.6501,336.598,0.528125,0.58633,0.457448,0.252995,0.06446661
1759793181.704147,-0.6501,336.598,0.528125,0.58841,0.450052,0.300208,0.06465779
1759793181.8910775,9.3628,337.061,0.528125,0.58841,0.450052,0.278802,0.06442606
1759793182.0748987,-0.6301,337.316,0.533333,0.58984,0.450469,0.273359,0.06472873
1759793182.1611533,9.3855,337.879,0.536458,0.59557,0.450469,0.273359,0.06472873
1759793182.324787,-0.6101,338.038,0.534375,0.58503,0.45612,0.299688,0.06447669
1759793182.4946482,9.4006,338.421,0.945833,0.75638,0.450703,0.255911,0.06476338
1759793182.6726592,-0.5900000000000001,338.759,0.542708,0.59219,0.454479,0.272552,0.06455069
1759793182.8630588,-0.5900000000000001,338.759,0.532292,0.59232,0.450104,0.279896,0.06483466
1759793183.045652,-0.5701,339.139,0.538542,0.59206,0.452969,0.266536,0.06460378
1759793183.2209163,-0.5701,339.476,0.538542,0.5931,0.449635,0.279453,0.06481835
1759793183.3016472,9.4405,339.86,0.534375,0.5931,0.449635,0.279453,0.06481835
1759793183.458928,-0.5450999999999999,340.377,0.53125,0.59388,0.451875,0.285755,0.06458512
1759793184.6486092,-0.855,329.218,0.535417,0.58685,0.451563,0.232188,0.06450464
1759793185.7687104,-0.9650000000000001,325.259,0.529167,0.58503,0.456901,0.259141,0.06416578
1759793185.9355302,9.0455,325.638,0.530208,0.58568,0.447318,0.25263,0.06440237
1759793186.1164298,9.050600000000001,325.638,0.529167,0.58789,0.448333,0.266328,0.06462875
1759793186.3003106,9.050600000000001,325.821,0.529167,0.58893,0.446927,0.359844,0.0644015
1759793186.4771802,-0.9401,326.157,0.526042,0.58893,0.448307,0.279219,0.0647248
